STATENAME,UV_Wh/square_meter
Alabama,3594.102564
Arizona,3715.86747
Arkansas,3744.071429
California,3745.129032
Colorado,3779.375
Connecticut,3809.208955
Delaware,3810.708333
District of Columbia,3832.5
Florida,3841.022989
Georgia,3841.5
Idaho,3842.056818
Illinois,3874.785714
Indiana,3881.4
Iowa,3892.363636
Kansas,3902.113208
Kentucky,3927.964286
Louisiana,3951.095238
Maine,3977.777778
Maryland,4019.380435
Massachusetts,4053.545455
Michigan,4057.166667
Minnesota,4074
Mississippi,4100
Missouri,4111.742424
Montana,4113.825
Nebraska,4117.460784
Nevada,4170.545455
New Hampshire,4181.985075
New Jersey,4278.578947
New Mexico,4308.33913
New York,4350.521739
North Carolina,4350.763441
North Dakota,4352.17
Ohio,4505.164179
Oklahoma,4515.346667
Oregon,4518.817073
Pennsylvania,4525.021739
Rhode Island,4557.875
South Carolina,4563.974843
South Dakota,4572.047619
Tennessee,4714.753247
Texas,4737.551724
Utah,4743.671642
Vermont,4802.730159
Virginia,4871.413793
Washington,4917.952756
West Virginia,4977
Wisconsin,5439.69697
Wyoming,5528.466667
